"Notes"	"State"	"State Code"	"Year of Death"	"Year of Death Code"	"Hispanic Origin"	"Hispanic Origin Code"	Deaths	Births	Death Rate
	"Ohio"	"39"	"2002"	"2002"	"Non-Hispanic White"	"6"	739	117998	6.26
	"Ohio"	"39"	"2002"	"2002"	"Non-Hispanic Black"	"7"	366	22364	16.37
	"Oklahoma"	"40"	"1999"	"1999"	"Non-Hispanic White"	"6"	282	34159	8.26
	"Oklahoma"	"40"	"1999"	"1999"	"Non-Hispanic Black"	"7"	64	4466	14.33
	"Oklahoma"	"40"	"2000"	"2000"	"Non-Hispanic White"	"6"	270	34121	7.91
	"Oklahoma"	"40"	"2000"	"2000"	"Non-Hispanic Black"	"7"	62	4702	13.19
	"Oklahoma"	"40"	"2001"	"2001"	"Non-Hispanic White"	"6"	227	34360	6.61
	"Oklahoma"	"40"	"2001"	"2001"	"Non-Hispanic Black"	"7"	70	4574	15.30
	"Oklahoma"	"40"	"2002"	"2002"	"Non-Hispanic White"	"6"	261	34367	7.59
	"Oklahoma"	"40"	"2002"	"2002"	"Non-Hispanic Black"	"7"	70	4676	14.97
	"Oregon"	"41"	"1999"	"1999"	"Non-Hispanic White"	"6"	182	34247	5.31
	"Oregon"	"41"	"2000"	"2000"	"Non-Hispanic White"	"6"	182	34291	5.31
	"Oregon"	"41"	"2000"	"2000"	"Non-Hispanic Black"	"7"	10	996	10.04 (Unreliable)
	"Oregon"	"41"	"2001"	"2001"	"Non-Hispanic White"	"6"	184	33388	5.51
	"Oregon"	"41"	"2002"	"2002"	"Non-Hispanic White"	"6"	198	32949	6.01
	"Oregon"	"41"	"2002"	"2002"	"Non-Hispanic Black"	"7"	12	897	13.38 (Unreliable)
	"Pennsylvania"	"42"	"1999"	"1999"	"Non-Hispanic White"	"6"	645	113655	5.68
	"Pennsylvania"	"42"	"1999"	"1999"	"Non-Hispanic Black"	"7"	327	20000	16.35
	"Pennsylvania"	"42"	"2000"	"2000"	"Non-Hispanic White"	"6"	634	113557	5.58
	"Pennsylvania"	"42"	"2000"	"2000"	"Non-Hispanic Black"	"7"	303	20227	14.98
	"Pennsylvania"	"42"	"2001"	"2001"	"Non-Hispanic White"	"6"	645	110503	5.84
	"Pennsylvania"	"42"	"2001"	"2001"	"Non-Hispanic Black"	"7"	268	19615	13.66
	"Pennsylvania"	"42"	"2002"	"2002"	"Non-Hispanic White"	"6"	679	108622	6.25
	"Pennsylvania"	"42"	"2002"	"2002"	"Non-Hispanic Black"	"7"	287	19738	14.54
	"Rhode Island"	"44"	"1999"	"1999"	"Non-Hispanic White"	"6"	27	7362	3.67
	"Rhode Island"	"44"	"1999"	"1999"	"Non-Hispanic Black"	"7"	13	856	15.19 (Unreliable)
	"Rhode Island"	"44"	"2000"	"2000"	"Non-Hispanic White"	"6"	42	7825	5.37
